Id,Title,Artist,Genre,Release,Rating
3182,Live at the O2 Arena + Rarities [CD],Alter Bridge,Pop,09/08/17,
3183,The Blitz [CD],Krokus,Pop,09/09/14,
3184,Knights Call [CD],Axel Rudi Pell,Pop,03/23/2018,
3185,The King of Rock 'n' Roll: The Complete 50s Masters [CD],Elvis Presley,Pop,11/06/12,
3186, NRBQ [1969] [CD],NRBQ,Pop,03/16/2018,
3187,Ayreon Universe [Video] [Blu-Ray Disc],,,03/30/2018,
3188,Boxer [LP] - VINYL,The National,Pop,05/22/2007,
3189,Somewhere in Time [LP] - VINYL,Iron Maiden,Pop,12/02/14,
3190,"Party Tyme Karaoke: Girl Pop, Vol. 26 [CD]",Various Artists,Pop,02/05/16,4.5
3191, Ashen Blood [CD],Green Druid,Pop,03/16/2018,
3192,Lost Treasure [CD],Salty Dog,Pop,04/06/18,
3193,Roxy: Tonight's the Night Live [CD],Neil Young,Pop,04/24/2018,
3194,Silver Eye [CD],Goldfrapp,Electronic/Dance,03/31/2017,
3195,Love Songs Drug Songs [CD],X Ambassadors,Pop,05/07/13,5
3196,Dirty Computer [CD],Janelle Monáe,Pop,04/27/2018,
3197, Under the Mountain [CD],King Witch,Pop,03/16/2018,
3198,Continuum [LP] - VINYL,John Mayer,Pop,04/06/10,
3199,Redemption [CD],Little Caesar,Pop,07/04/11,
3200,It's Never Too Late [CD],Andrew Wishart,Pop,05/15/2012,
3201,Southern Rock Tribute to Kid Rock [CD],Tribute Players,Pop,09/01/17,2.7
3202,"Echoes, Silence, Patience & Grace [CD]",Foo Fighters,Pop,09/25/2007,4.6
3203,To Another Horizon [CD],Gandalf,Electronic/Dance,07/01/16,
3204,Africa Zen [CD],Various Artists,New Age,01/01/08,
3205,Open Window [CD],Dream Sweet,New Age,11/27/2007,
3206,Soul of the Beloved [CD],Uma Silbey,New Age,05/07/02,
3207,Live from Russia (With Love) [LP] - VINYL,Paul Horn,New Age,01/31/2012,
3208,Pachelbel's Christmas [CD],Bruce Kurnow,New Age,11/03/17,
3209,Nature Sounds-Emotional Connection: Sweetness [CD],Various Artists,New Age,05/11/10,
3210,Reiki Healing Music [CD],Christopher of the Wolves,New Age,03/01/11,
3211,Awakening [CD],Retronic Voice,New Age,08/10/12,
3212,The Essence [CD],Deva Premal,New Age,03/16/2010,
3213,Backwards into the Backwoods [CD],Stian Carstensen,Jazz,05/04/04,
3214,Pearls of the Deep (Best Of) [CD],Stairway,Easy Listening,08/14/2015,
3215,Shamanviolin [CD],Tuomas Rounakari,World,01/01/09,
3216,Native Flute Tracks: Jam Tracks In A Minor [CD],Clint Goss,New Age,02/26/2008,
3217,Traveler [CD],Sherry Finzer,New Age,08/18/2017,
3218,Take Hold of Christ [CD],Sandi Patty,Gospel & Christian,02/11/03,
3219,Pilates für Unbewegliche [CD],Canda,New Age,10/13/2015,
3220,Visions & Dreams [CD],Autumn's Child,New Age,09/06/05,
3221,Flowing Through the Chakras [CD],Cerantha,New Age,01/01/10,
3222,"Healing Series, Vol. 1: Essence [CD]",Peter Kater,New Age,03/24/2009,
3223,Hennie Bekker's Tranquility: Transitions [CD],Hennie Bekker,New Age,10/27/2005,
3224,"Bolero Gypsies New Flamenco, Vol. 2 [CD]",Various Artists,New Age,08/29/2006,
3225,This Earth [CD],Shibaten,World,09/05/08,
3226,Reflections [CD],Strikepoint,New Age,12/04/12,
3227,Cinco: The First Five LPS [180-Gram Vinyl] [LP] - VINYL,ZZ Top,Pop,06/09/17,5
3228,Incesticide [CD],Nirvana,Pop,12/15/1992,4.5
3229,Pinkerton [CD],Weezer,Pop,09/24/1996,4.7
3230,No Secrets [CD],Carly Simon,Pop,10/25/1990,5
3231,The Hits/The B-Sides [CD] [PA],Prince,R&B Soul,09/14/1993,4.8
3232,Ultimate Manilow [Arista] [CD],Barry Manilow,Vocal,02/05/02,5
3233,Celtic Harp [CD],Eileen Monger,World,04/15/1999,
3234,Dirty Mind [CD] [PA],Prince,Pop,10/25/1990,5
3235,Danger Days: The True Lives of the Fabulous Killjoys [LP] [PA],My Chemical Romance,Pop,02/01/11,5
3236,Gold [CD],The Supremes,R&B Soul,04/26/2005,4.9
3237,Where the Light Shines Through [Bonus Tracks] [CD],Switchfoot,Gospel & Christian,07/08/16,4.7
3238,If You Can Believe Your Eyes and Ears [CD],The Mamas & the Papas,Pop,02/24/1998,5
3239,Yoga Rhythm [CD],Various Artists,New Age,12/27/2011,
3240,Evergreen [CD],Robert Fox,New Age,03/22/2011,
3241,Luzes [CD],Aurio Corra,New Age,10/31/2003,
3242,Yoga au Coeur de Lecoute [CD],Lyne St-Roch,New Age,01/23/2000,
3243,Healing the Wounded Soul [CD],Tony Stockwell,New Age,03/16/2010,
3244,Harp Guitar Dreams [CD],Various Artists,New Age,07/29/2008,
3245,Day & Age [LP] - VINYL,The Killers,Pop,12/15/2017,4
3246,Love Songs [CD],Elton John,Pop,05/15/2001,5
3247,Up [Deluxe Edition] [CD],Pop Evil,Pop,08/21/2015,4.4
3248,Robbin' the Hood [CD] [PA],Sublime,Pop,07/23/1996,4.3
3249,Violent Femmes [CD],Violent Femmes,Pop,10/17/2000,5
3250,This Is Acting [CD],Sia,Pop,01/29/2016,4.6
3251,"Future, Present, Past [CD]",Peter Davison,World,07/26/2010,
3252,Classical Jazz [CD],David Cullen,New Age,09/25/2001,
3253,In the Mood: Big Band Memories [CD],Various Artists,New Age,07/28/2017,
3254,Guitar Parts [CD],Doug Smith,Jazz,02/19/2008,
3255,The Songs of Distant Earth [LP] - VINYL,Mike Oldfield,New Age,04/18/2015,
3256,Notes from Across the Sea [CD],Ensemble Galilei,New Age,12/03/09,
3257,MUTTER [CD],Rammstein,Pop,04/03/01,5
3258,"Under the Influence: The Fixtape, Vol. 4 [CD] [PA]",Krayzie Bone,Pop,11/21/2011,4.3
3259,At Budokan [CD & DVD],Cheap Trick,Pop,07/06/10,4.5
3260,Comfort Eagle [CD],Cake,Pop,07/24/2001,5
3261,The Last in Line [CD],Dio,Pop,10/25/1990,4.7
3262,Ocean Waves: Calming Sounds for Baby's Bedtime [CD],Joe Baker,New Age,01/03/07,
3263,Classics II [CD],ERA,Electronic/Dance,10/14/2010,
3264,Why Do Whales and Children Sing? [CD],David Dunn,New Age,09/26/2012,
3265,Raven: The Rmx [CD],Gabrielle Roth,New Age,10/16/2015,
3266,The Best of Narada Christmas [CD],Various Artists,New Age,08/25/1998,
3267,This is It [LP] - VINYL,Alan Watts,New Age,02/17/2015,
3268,The Best of 1968-1973 [CD],Steve Miller Band,Pop,07/30/1991,4.5
3269,Gutterflower [CD],Goo Goo Dolls,Pop,04/09/02,5
3270,Bandolé! [CD],Shastro,New Age,06/15/2004,
3271,"Christmas in the Northwest, Vol. 6 [CD]",Various Artists,Holiday,11/01/03,
3272,Still Waters [CD],Stanton Lanier,New Age,01/29/2003,
3273,Red Moon [CD],Peter Kater,New Age,02/04/03,
3274,Sugarlands [CD],Bill Mize,New Age,01/01/89,
3275,20th Century Masters: The Millennium Collection: Best of CeCe Peniston [CD],Ce Ce Peniston,Electronic/Dance,04/10/01,5
3276,Sgt. Pepper's Lonely Hearts Club Band [50th Anniversary Edition Deluxe Version] [CD & DVD],The Beatles,Pop,05/26/2017,4.8
3277,The Man Who Sold the World [CD],David Bowie,Pop,09/25/2015,5
3278,Breakfast Club [LP] - VINYL,Original Soundtrack,Soundtracks & Shows,04/21/2012,5
3279,The  World Is My Enemy Now [CD],Upon a Burning Body,Pop,08/12/14,4.8
3280,Pickin' Up the Pieces [Super Audio] [CD],Poco,Pop,09/30/2013,2
3281,After Hours [Deluxe Edition] [CD],Glenn Frey,Vocal,05/08/12,5
3282,Onyx [Deluxe Version] [CD] [PA],Pop Evil,Pop,09/16/2014,4.7
3283,Live at Radio City Music Hall [CD],Dave Matthews,Pop,08/14/2007,5
3284,VHS [CD] [PA],X Ambassadors,Pop,06/30/2015,4.4
3285,Love Lust Faith + Dreams [CD] [PA],Thirty Seconds to Mars,Pop,05/21/2013,4.2
3286,City of Sound [CD],The Revivalists,Pop,03/03/14,1
3287,Icon [CD],Shaggy,Reggae,08/05/14,5
3288,Astral Weeks [180 Gram Vinyl] [LP] - VINYL,Van Morrison,Pop,12/30/2008,5
3289,Vulture Culture [Expanded] [CD],Alan Parsons,Pop,03/03/09,4
3290,Original Album Classics [CD],New Kids on the Block,R&B Soul,05/28/2013,5
3291,Sports! [30th Anniversary Deluxe Edition] [CD],Huey Lewis & the News,Pop,05/14/2013,5
3292,"The Last Don, Vol. 2 [CD]",Don Omar,Latin,06/16/2015,4.3
3293,Rokstarr [CD],Taio Cruz,Pop,06/01/10,4
3294,Dirt [International Edition] [CD],Alice in Chains,Pop,01/08/08,5
3295,One Cold Night [Bonus DVD] [CD],Seether,Pop,07/11/06,3.3
3296,Actor [LP] - VINYL,St. Vincent,Pop,05/05/09,4
3297,The Complete Original Dunhill/ABC Hit Singles [CD],The Grass Roots,Pop,03/03/14,4.7
3298,Christmas Peace [Reflections 2012] [CD],Various Artists,New Age,01/01/13,
3299,Unwind (Alpha Relaxation Solution) [CD],Silvia Nakkach,New Age,10/10/06,
3300,The Very Best of Enya [CD],Enya,New Age,12/01/09,
3301,The Dawn Dance [Digital Download],Alasdair Fraser,World,05/21/1996,
3302,Nature Notes Scents of the World: Sakura [CD],Various Artists,New Age,09/03/13,
3303,One Red Rose [CD],Elliot Steger,New Age,09/12/06,
3304,Holistic Healing [CD],Patrick Kelly,Easy Listening,01/15/2013,
3305,Muse of the Round Sky [CD],Paul Avgerinos,New Age,06/14/2005,
3306,Six Strings and Shiva [CD],Steve Gold,New Age,01/08/16,
3307,The Enchanters [CD],Na Draiodoiri,New Age,03/02/10,
3308,Chakra Chants [CD],Jonathan Goldman,New Age,11/02/04,
3309,Nu' Jeans e Na' Maglietta [CD],Nino D'Angelo,Latin,04/12/13,
3310,Rain Largo [CD],Ann Lindquist,New Age,08/26/2008,
3311,Schlapps und Schlumbo [CD],Reinhard Lakomy,New Age,05/10/04,
3312,Altiplanos [CD],Pierre Bensusan,New Age,10/16/2015,
3313,Pacific Moon III [CD],Various Artists,New Age,12/15/2007,
3314,Osho Nadabrahma Meditation [CD],Deuter,New Age,03/17/1997,
3315,"Sound Body, Sound Mind: Music for Healing [Rhino] [CD]",Andrew Weil,New Age,05/24/2005,
3316,Day by Day [CD],Megon McDonough,Folk,01/01/89,
3317,Rhythm of Life [CD],Gordon Burnham,New Age,03/25/2008,
3318,Juke Box [LP] - VINYL,Franco Battiato,New Age,12/01/17,
3319,Sacred Songs [CD],Asher Quinn,New Age,10/05/12,
3320,Body & Soul Collection: Emerald Isle [CD],Various Artists,New Age,04/24/2001,
3321,Healing Spirits: Wellness [CD],Various Artists,New Age,04/19/2005,
3322,Victory: Music of the Bolder Boulder [CD],Steve Haun,New Age,05/19/1992,
3323,Cello & Piano Sanctuary [CD],Merrill Collins,New Age,04/21/2017,
3324,Silver Ship [CD],Suzanne Ciani,New Age,06/14/2005,
3325,Ham Hocks & Gravy [CD],Steve Cheseborough,New Age,06/21/2005,
3326,Reflections on Still Water [CD],Acoustic Ocean,Folk,06/30/2010,
3327,Sounds of the Season [CD],Aryeh Frankfurter,World,06/10/08,
3328,Oxygène [LP] - VINYL,Jean Michel Jarre,Avant-Garde,10/23/2015,
3329,"The Best of Silver Wave, Vol. 3: The Stars [CD]",Various Artists,New Age,11/23/1994,
3330,Guided Meditations: Fill What Is Empty; Empty What Is Full [CD],Davidji,New Age,11/23/2009,
3331,Breathing [CD],Craig Kohland,New Age,01/07/03,
3332,Sacred Temples of India [CD],Chinmaya Dunster,New Age,09/03/02,
3333,Surrender [CD],Jeff Oster,New Age,08/16/2011,
3334,Highland Cathedral [CD],Phil Coulter,Easy Listening,02/22/2000,
3335,Egyptian Moon [CD],Ross Aubrey,New Age,08/25/2009,
3336,New Jazz on Campus [CD],Paul Winter,New Age,01/30/2001,
3337,A Tribute to Enya [Big Eye] [CD],Various Artists,New Age,07/23/2002,
3338,Winds of the Heart [CD],Gentle Thunder,New Age,06/25/2004,
3339,Unforgettable Love Songs [CD],Stan Whitmire,New Age,07/31/2012,
3340,Dare to Dream [CD],Yanni,New Age,04/29/2008,
3341,Simple Pleasures [CD],Michael Hoppé,New Age,10/02/15,
3342,Nature Sound Series: Tropical Ocean Surf [Nature Sounds Only Version] [CD],Various Artists,New Age,04/26/2007,
3343,Ukulele Soup [CD],Biff Moss,New Age,11/20/2007,
3344,Left of Blue [CD],Dave Eggar,New Age,08/09/05,
3345,"Soul Adventures, Vol. 1: A Journey Through Music to Healing and Relaxation [CD]",Rasa Living Wellness,New Age,03/04/08,
3346,From Nashville to Memphis: The Essential 60's Masters [CD],Elvis Presley,Country,11/08/10,5
3347,Sheffield Steel [CD],Joe Cocker,Pop,02/01/11,5
3348,If You Can Believe Your Eyes and Ears [CD],The Mamas & the Papas,Pop,10/24/2011,5
3349,Very Best of Timi Yuro [CD],Timi Yuro,R&B Soul,07/03/06,5
3350,Handful of Rain [CD],Savatage,Pop,12/05/11,5
3351,Purpose [LP] - VINYL,Justin Bieber,Pop,11/13/2015,4.2
3352,Traveling Alone [LP] - VINYL,Tift Merritt,Country,09/17/2013,4
3353,Tooth & Nail [Remastered] [Deluxe] [CD],Dokken,Pop,01/28/2014,5
3354,Highway 61 Revisited [LP] - VINYL,Bob Dylan,Folk,04/15/2014,5
3355,SACREDWARPATH [CD],Sodom,Pop,01/20/2015,5
3356,Vices & Virtues [LP] - VINYL,Panic! At the Disco,Pop,11/04/16,5
3357,Saintmotelevision [CD],Saint Motel,Pop,10/21/2016,5
3358,In the Lonely Hour [Drowning Shadows Edition] [LP] - VINYL,Sam Smith,Pop,01/15/2016,5
3359,On Your Feet [Original Broadway Cast Recording] [CD],Original Broadway Cast,Pop,04/29/2016,5
3360,L7: Pretend We're Dead [Video] [Blu-Ray Disc],,,10/27/2017,5
3361,Pearl Jam [LP] - VINYL,Pearl Jam,Pop,11/10/17,5
3362,Core [25th Anniversary Super Deluxe Edition] [4 CD/1 DVD/1 LP] [CD & DVD],Stone Temple Pilots,Pop,09/29/2017,5
3363,The Punishment of Luxury: B Sides & Bonus Material [CD],Orchestral Manoeuvres in the Dark,Pop,12/22/2017,5
3364,Froot [CD],Marina and the Diamonds,Pop,03/16/2015,4.9
3365,Peace Sells...But Who's Buying? [25th Anniversary Special Edition] [CD],Megadeth,Pop,07/12/11,5
3366,Abracadabra [CD],Steve Miller,Pop,10/25/1990,5
3367,Your Little Secret [CD],Melissa Etheridge,Pop,11/14/1995,5
3368,Greatest Hits (And More) [CD],Dr. Hook,Pop,10/25/1990,5
3369,"Greatest Hits, Vols. 1 & 2 (1973-1985) [Bonus CD-ROM Track] [CD]",Billy Joel,Pop,10/20/1998,5
3370,Bleed American [CD],Jimmy Eat World,Pop,07/24/2001,5
3371,Pure Fiction [CD],Eric Hutchinson,Pop,04/08/14,5
3372,Buddha and the Chocolate Box [CD],Cat Stevens,Pop,07/25/2000,4
3373,20th Century Masters - The Millennium Collection [CD],Steppenwolf,Pop,04/20/1999,4
3374,"Buffett Live: Tuesdays, Thursdays, Saturdays [CD]",Jimmy Buffett,Pop,11/09/99,4
3375,The Big Chill [Original Soundtrack] [CD],Original Soundtrack,Soundtracks & Shows,09/22/1998,5
3376,American Pie [Bonus Tracks] [CD],Don McLean,Pop,06/24/2003,5
3377,So [25th Anniversary Edition] [CD],Peter Gabriel,Pop,10/22/2012,5
3378,Songs for the End of the World [CD],Rick Springfield,Pop,10/09/12,5
3379,The Fame Monster [Deluxe Edition] [CD],Lady Gaga,Pop,11/23/2009,4.7
3380,"The Singles Collection: A's & B's, 1964-1969 [CD]",The Zombies,Pop,03/14/2000,
3381,Defying Gravity [CD],Mr. Big,Pop,07/21/2017,3
3382,Wings at the Speed of Sound [Bonus Tracks] [CD],Paul McCartney,Pop,11/04/14,5
3383, Eight [CD],Little Caesar,Pop,03/16/2018,
3384,Black Widow [CD],In This Moment,Pop,11/17/2014,4.6
3385,Bob Dylan [CD],Bob Dylan,Folk,06/21/2005,4
3386,Toto IV [CD],Toto,Pop,02/01/08,5
3387,The Christmas Collection [CD],Amy Grant,Gospel & Christian,09/30/2008,5
3388,VH1 Behind the Music: The Daryl Hall and John Oates Collection [CD],Daryl Hall & John Oates,R&B Soul,03/19/2002,5
3389,20 Greatest Hits [CD],B.J. Thomas,Country,02/15/2013,5
3390,"Greatest Hits, Vol. 3 [CD]",Billy Joel,Pop,08/19/1997,5
3391,Closer [CD],Joy Division,Pop,01/13/2008,3
3392,Veneer [LP] - VINYL,José González,Pop,10/22/2012,5
3393,Crystal Bowls Chakra Chants [CD],Jonathan Goldman,New Age,03/09/10,
3394,Noel [CD],Doug Hammer,New Age,11/13/2008,
3395,The Sounds of Nature: Great Masters [CD],Various Artists,New Age,09/25/2007,
3396,Ojas [CD],Dave Stringer,New Age,02/19/2013,
3397,Soundspace Alpha [CD],Manuel De Lizarriturri,New Age,10/16/2013,
3398,Breakfast in the Field [CD],Michael Hedges,New Age,10/25/1990,
3399,Keepin' It Breezy [CD] [PA],Mind over Matter,New Age,06/10/08,
3400,New Orleans Guitar Solos [CD],Steve Hancoff,Jazz,03/16/2004,
3401,Bora Bora 2000 [CD],Iasos,New Age,01/04/00,
3402,Memory of Trees [LP] - VINYL,Enya,New Age,11/11/16,
3403,Gentle River [CD],Awankana,New Age,12/01/91,
3404,Travellers Tales from Antarctica [CD],David & Phil Massey,New Age,11/04/16,
3405,Country & Western [CD],New Star Orchestra,New Age,08/15/2006,
3406,~ [CD],Odi Me,New Age,11/04/16,
3407,Self-Confidence in a Box [CD],Annie Lawler,New Age,03/04/08,
3408,Cafe Arabia [CD],Various Artists,New Age,05/22/2017,
3409,The Definitive Collection [CD],Kitaro,New Age,11/06/07,
3410,Praise My Soul [CD],The Amen Singers,Gospel & Christian,03/13/2007,
3411,Salva Nos (Save Us) [CD],Mediæval Bæbes,Classical,09/25/2007,
3412,Bella Naturaleza [CD],Alex Antonelli,Latin,03/10/08,
3413,Naturgeräusche zur Entspannung Meeresrauschen ohne Musik [CD],Rettenmaier,New Age,08/01/13,
3414,Geschenk des Augenblicks (Gift of the Moment) [LP] - VINYL,Hans-Joachim Roedelius,New Age,02/01/11,
3415,Sounds of the Earth: Calm Ocean [CD],Sounds Of The Earth,New Age,06/10/08,
3416,Arakara [CD],Turiya Nada,New Age,10/08/13,
3417,Dhyana - Guided Meditations [CD],Chandra Om,New Age,06/11/10,
3418,Beyond the Sky [CD],Chris Glassfield,New Age,11/04/16,
3419,Sounds of Silence [Bonus Tracks] [CD],Simon & Garfunkel,Folk,03/25/2008,5
3420,Stuff Like That There [CD],Yo La Tengo,Pop,08/28/2015,5
3421,All Four One [CD],The Motels,Pop,03/27/2012,5
3422,Little Robbers [CD],The Motels,Pop,03/27/2012,5
3423,VHS [CD],X Ambassadors,Pop,06/30/2015,4
3424,Sawdust [LP] - VINYL,The Killers,Pop,12/15/2017,
3425,Middle of Everywhere: The Greatest Hits [CD],Hanson,Pop,09/08/17,5
3426,Shock [CD],The Motels,Pop,10/30/2012,3
3427,Elvis' Golden Records [CD],Elvis Presley,Pop,05/26/2015,
3428,Dua Lipa [LP] [PA],Dua Lipa,Pop,07/28/2017,4
3429,Encore [Bonus Tracks] [CD],Lionel Richie,R&B Soul,01/07/03,
3430,Playlist: The Very Best of the Turtles [CD],The Turtles,Pop,05/27/2016,3.5
3431,Eonian [CD],Dimmu Borgir,Pop,05/04/18,
3432,Run with the Pack [CD],Issa,Pop,04/20/2018,
3433,GodWeenSatan: Live [LP] - VINYL,Ween,Pop,11/18/2016,
3434,The  Essential Boz Scaggs [CD],Boz Scaggs,R&B Soul,10/29/2013,
3435,Blonde on Blonde [LP] - VINYL,Bob Dylan,Pop,11/01/02,
3436,All Delighted People [LP] - VINYL,Sufjan Stevens,Pop,12/07/10,
3437,Thoroughbred [CD],Carole King,Pop,03/01/91,
3438,South American Assault: Live [CD],Paul Di'Anno,Pop,08/01/94,
3439,The Ultimate Collection: Four Tops [CD],The Four Tops,R&B Soul,10/07/97,
3440,The Best of T. Graham Brown [Liberty/Curb] [CD],T. Graham Brown,Country,03/04/97,
3441,All Time Greatest Hits [CD],The Grass Roots,Pop,07/30/1996,
3442,Victorialand [CD],Cocteau Twins,Pop,06/03/03,
3443,Disney Theme Park Classics [CD],Various Artists,Soundtracks & Shows,01/20/2017,
3444,Desire [Remastered] [CD],Bob Dylan,Pop,06/01/04,
3445,Standard Songs for Average People [CD],John Prine,Folk,04/24/2007,
3446,War of Attrition [CD],Dying Fetus,Pop,03/06/07,
3447,The Complete Wooden Nickel Recordings [CD],Styx,Pop,02/15/2005,
3448,In Sorte Diaboli [Limited Edition] [CD],Dimmu Borgir,Pop,04/24/2007,
3449,No Pocky for Kitty [CD],Superchunk,Pop,08/17/2010,
3450,'80s Gold [CD],Various Artists,R&B Soul,03/07/06,5
3451,3 CD Collector's Set [CD],Rihanna,Pop,12/15/2009,
3452,Borderlands [CD],Original Game Soundtrack,Soundtracks & Shows,12/08/09,
3453,"Love, Peace and Harmony: The Best of Bow Wow Wow [CD]",Bow Wow Wow,Pop,04/01/08,
3454,The Entertainer [CD & DVD],Donny Osmond,Vocal,05/04/10,
3455,All of My Heart: ABC Collection [CD],ABC,Pop,10/05/10,
3456,Sound & Vision Anthology [CD & DVD],Atlanta Rhythm Section,Pop,05/08/12,
3457,Songbook [CD],Elaine Paige,Vocal,09/11/07,
3458,Special Beat Service [Deluxe Edition] [CD & DVD],The English Beat,Pop,07/10/12,
3459,Every Hour Is a Dollar Gone [CD],Patrick Sweany,Blues,06/12/07,
3460,Celine Dion [CD],Céline Dion,Pop,04/29/2008,
3461,Viva Las Vegas [CD],Elvis Presley,Soundtracks & Shows,01/26/2010,
3462,X [CD],INXS,Pop,06/14/2011,
3463,Post [CD],Björk,Electronic/Dance,04/20/2010,
3464,Simply the Best [Import 1991] [CD],Tina Turner,R&B Soul,10/22/1991,
3465,"Still The Orchestra Plays: Greatest Hits, Vol. 1 & Vol. 2 [2 CD] [CD]",Savatage,Pop,03/23/2010,
3466,Timeless [CD],Michael Dulin,New Age,11/02/04,
3467,The Dreams of Gaia [CD],Various Artists,New Age,09/19/2006,
3468,"Best Of, Pt. 2 [CD]",G.E.N.E.,New Age,08/05/08,
3469,Beyond Denial [CD],Axiom of Choice,New Age,06/18/1996,
3470,Däfos [CD],Airto,Latin,05/30/2012,
3471,Classics for Relaxation [CD],Various Artists,New Age,07/28/2017,
3472,Luna Magistra [CD],Enam,New Age,05/08/07,
3473,Back to the Garden [CD],Dean Evenson,New Age,07/15/1997,
3474,Mayan Ancestral Music [CD],Xavier Quijas Yxayotl,World,01/01/05,
3475,"Here at the Water's Edge, Vol. 1 [CD]",Various Artists,New Age,05/30/2012,
3476,Night Birds [CD],Edward Gerhard,New Age,02/08/94,
3477,"Day Parts: Party Music That Cooks, Vol. 2 [CD]",Chip Davis' Day Parts,New Age,05/07/96,
3478,Heart to Heart [CD],Nadama,New Age,09/30/1995,
3479,In a Dream [CD],Peter Kater,New Age,03/03/09,
3480,"Romances for Alto Flute, Vol. 2: The Dreamer [Enhanced CD]",Michael Hoppé,Easy Listening,02/04/12,
3481,Tales From the Ultra Tribe [CD],Byron Metcalf,Electronic/Dance,01/15/2013,
3482,Between the Waters [CD],Willie & Lobo,New Age,08/29/1995,
3483,Return of the Silkie [LP] - VINYL,Carol Kleyn,Folk,09/17/2013,
3484,The Fall of a Rebel Angel [Bonus Track] [CD],Enigma,Electronic/Dance,11/18/2016,
3485,Voices from the Water [CD],Jim Horn,New Age,10/08/12,
3486,Durch die Wüste [CD],Hans-Joachim Roedelius,Electronic/Dance,08/18/2009,
3487,Aroma Bath [CD],Angelina Shana,New Age,03/17/2011,
3488,The Lost Chord [CD],Jonathan Goldman,New Age,11/02/04,
3489,Kojiki [Bonus DVD] [CD],Kitaro,New Age,02/02/04,
3490,Zen Garden [CD],Various Artists,World,11/11/14,
3491,Arrested Amnesia [CD],Arrested Amnesia,Electronic/Dance,07/03/07,
3492,Women of the World [CD],Jeanette Arsenault,New Age,10/24/2006,
3493,Mahoroba [CD],Sojiro,New Age,12/15/2007,
3494,Yoga Groove 2 [CD],Brent Lewis,New Age,12/27/2011,
3495,Amistad [CD],Michael Hoppé,New Age,05/11/18,
3496,Crises [LP] - VINYL,Mike Oldfield,New Age,09/10/13,
3497,Live In Paris [CD],Pierre Bensusan,New Age,09/25/2012,
3498,Classical Music for Sleep [CD],Various Artists,New Age,09/18/2001,
3499,Wind Island Kaohagan [CD],Various Artists,New Age,07/04/01,
3500,Tai Chi [ZYX] [CD],Various Artists,New Age,03/24/2015,
3501,"Buddha Spirit, Vol. 2 [CD]",Anael & Bradfield,New Age,04/10/07,
3502,"Sacred Music for Healing Hands, Vol. 2 [CD]",Richard Shulman,New Age,03/08/06,
3503,Summer Piano Relaxing [CD],Various Artists,New Age,07/22/2014,
3504,"Songs of the Spirit, Vol. 3 [CD]",Karen Drucker,New Age,03/21/2006,
3505,Innocence [CD],Ken Davis,New Age,11/08/05,
3506,Under Lock & Key [Remastered] [Deluxe] [CD],Dokken,Pop,01/28/2014,
3507,Fashion Nugget [CD],Cake,Pop,02/05/01,
3508,The First Four Albums & More! [CD],The Lettermen,Pop,04/15/2014,
3509,Bloodsuckers [CD],VAMPS,Pop,03/23/2015,
3510,Elvis Unplugged: Versions You Have Never Heard! [CD],Elvis Presley,Pop,12/09/16,
3511,Playlist: The Very Best of Ace of Base [CD],Ace of Base,Electronic/Dance,01/25/2011,
3512,Equinox [LP] - VINYL,Styx,Pop,07/17/2015,
3513,Sweeter [CD],Gavin DeGraw,Pop,05/26/2015,
3514,My Third Album/Songs About Ladies & Love [CD],Johnny Rodriguez,Country,03/18/2016,
3515,Belfry [CD],Messa,Pop,07/08/16,
3516,Good Karma [Limited Edition Orange Vinyl] [LP] - VINYL,Roxette,Pop,06/10/16,
3517,Afterlife [Expanded Edition] [CD],Blackthorne,Pop,09/09/16,
3518,Fear Beyond Lunacy [CD],Hatchet,Pop,10/30/2015,
3519,Wiggles Nursery Rhymes [CD],The Wiggles,Pop,03/17/2017,
3520,Live: Bonnie on Tour [Video] [DVD],,,01/19/2018,
3521,New Flesh [CD],Priest,Pop,12/08/17,
3522,Beast Remains [CD],Freedom Hawk,Pop,03/23/2018,
3523,Help Me Rhonda [CD],Johnny Rivers,Pop,07/21/2017,
3524,The  Dark Element [CD],The Dark Element,Pop,11/10/17,
3525,Streets: A Rock Opera [CD & DVD],Savatage,Pop,10/08/13,
3526,Saxophone Colossus [Video] [Blu-Ray Disc],,,08/04/17,
3527,No Grave but the Sea [Deluxe Edition] [CD],Alestorm,Pop,05/26/2017,
3528, Coma of Souls [LP] - VINYL,Kreator,Pop,02/23/2018,
3529,Cardington [CD],Lifesigns,Pop,09/22/2017,
3530,The Punishment of Luxury [CD & DVD],Orchestral Manoeuvres in the Dark,Pop,09/01/17,
3531,"Buried Treasure, Vol. 1 [Deluxe Edition] [CD/DVD] [CD & DVD]",Jimmy Buffett,Pop,11/17/2017,
3532,Broken Machine [LP] - VINYL,Nothing But Thieves,Pop,09/08/17,
3533,God Damn Evil [LP] - VINYL,Stryper,Gospel & Christian,04/20/2018,
3534,You're Driving Me Crazy [LP] - VINYL,Joey DeFrancesco,Pop,04/27/2018,
3535,1992: The Broadcasts [LP] - VINYL,Pearl Jam,Pop,06/18/2012,5
3536,Fearless [CD],Gus G.,Pop,04/20/2018,
3537,Nuevos Senderos [CD],Olga Tañón,Latin,04/16/1996,
3538,The Greatest Hits: The Power of Great Music [CD],James Ingram,R&B Soul,09/24/1991,
